Ax,Ay,Az,Gx,Gy,Gz,Label
-0.003,0.025,1.015,0.577,-2.328,1.269,IDLE
-0.006,0.025,1.017,0.577,-2.354,1.242,IDLE
-0.005,0.025,1.019,0.586,-2.301,1.242,IDLE
-0.004,0.026,1.019,0.577,-2.301,1.225,IDLE
-0.005,0.026,1.016,0.543,-2.284,1.26,IDLE
-0.006,0.025,1.019,0.525,-2.328,1.26,IDLE
-0.002,0.025,1.017,0.56,-2.328,1.26,IDLE
-0.004,0.025,1.018,0.525,-2.328,1.278,IDLE
-0.005,0.024,1.018,0.551,-2.31,1.321,IDLE
-0.004,0.025,1.016,0.525,-2.345,1.269,IDLE
-0.005,0.025,1.017,0.534,-2.336,1.269,IDLE
-0.003,0.025,1.017,0.525,-2.328,1.26,IDLE
-0.005,0.026,1.016,0.543,-2.328,1.269,IDLE
-0.005,0.024,1.018,0.481,-2.293,1.26,IDLE
-0.005,0.025,1.016,0.516,-2.345,1.251,IDLE
-0.004,0.024,1.018,0.56,-2.328,1.251,IDLE
-0.004,0.025,1.021,0.586,-2.336,1.26,IDLE
-0.004,0.025,1.015,0.516,-2.319,1.225,IDLE
-0.005,0.024,1.018,0.621,-2.301,1.278,IDLE
-0.005,0.024,1.018,0.604,-2.275,1.207,IDLE
-0.006,0.025,1.016,0.613,-2.328,1.199,IDLE
-0.002,0.026,1.02,0.621,-2.293,1.234,IDLE
-0.003,0.025,1.016,0.604,-2.31,1.234,IDLE
-0.004,0.025,1.017,0.656,-2.293,1.278,IDLE
-0.006,0.024,1.019,0.639,-2.328,1.26,IDLE
-0.003,0.025,1.018,0.613,-2.301,1.216,IDLE
-0.005,0.027,1.02,0.595,-2.319,1.251,IDLE
-0.004,0.026,1.02,0.569,-2.293,1.269,IDLE
-0.006,0.024,1.015,0.586,-2.31,1.26,IDLE
-0.003,0.025,1.017,0.569,-2.31,1.216,IDLE
-0.005,0.026,1.02,0.56,-2.31,1.269,IDLE
-0.006,0.025,1.017,0.534,-2.31,1.269,IDLE
-0.003,0.025,1.014,0.63,-2.31,1.269,IDLE
-0.008,0.025,1.021,0.577,-2.354,1.286,IDLE
-0.004,0.025,1.018,0.577,-2.301,1.26,IDLE
-0.004,0.026,1.018,0.551,-2.301,1.225,IDLE
-0.006,0.026,1.017,0.569,-2.362,1.234,IDLE
-0.001,0.027,1.018,0.586,-2.293,1.225,IDLE
-0.005,0.025,1.016,0.56,-2.293,1.286,IDLE
-0.003,0.026,1.02,0.577,-2.301,1.286,IDLE
-0.006,0.025,1.015,0.525,-2.293,1.26,IDLE
-0.006,0.026,1.02,0.543,-2.319,1.216,IDLE
-0.003,0.026,1.016,0.49,-2.354,1.26,IDLE
-0.004,0.026,1.018,0.534,-2.345,1.225,IDLE
-0.004,0.026,1.017,0.481,-2.31,1.295,IDLE
-0.002,0.026,1.017,0.56,-2.31,1.251,IDLE
-0.006,0.025,1.02,0.516,-2.328,1.26,IDLE
-0.005,0.026,1.017,0.543,-2.345,1.242,IDLE
-0.005,0.026,1.017,0.507,-2.336,1.216,IDLE
-0.003,0.025,1.016,0.577,-2.328,1.19,IDLE
-0.003,0.026,1.02,0.516,-2.328,1.234,IDLE
-0.007,0.026,1.017,0.507,-2.362,1.251,IDLE
-0.004,0.025,1.018,0.577,-2.328,1.251,IDLE
-0.005,0.026,1.016,0.543,-2.345,1.242,IDLE
-0.003,0.026,1.017,0.543,-2.319,1.242,IDLE
-0.006,0.025,1.018,0.525,-2.301,1.269,IDLE
-0.004,0.027,1.018,0.56,-2.301,1.234,IDLE
-0.005,0.025,1.017,0.586,-2.284,1.234,IDLE
-0.003,0.026,1.017,0.569,-2.319,1.278,IDLE
-0.004,0.025,1.017,0.507,-2.354,1.26,IDLE
-0.006,0.026,1.017,0.595,-2.301,1.234,IDLE
-0.004,0.025,1.017,0.551,-2.362,1.242,IDLE
-0.005,0.025,1.018,0.551,-2.319,1.269,IDLE
-0.004,0.025,1.015,0.543,-2.328,1.278,IDLE
-0.005,0.026,1.018,0.56,-2.345,1.286,IDLE
-0.005,0.026,1.018,0.507,-2.31,1.242,IDLE
-0.004,0.025,1.016,0.516,-2.345,1.234,IDLE
-0.004,0.025,1.019,0.516,-2.328,1.26,IDLE
